athlete_id,hr_min,hr_max
75119381-8969-4cfe-8c31-f21ce0f7ae3a,84.0,161.0
3a74749c-d364-465a-8b26-47a6a58ddc55,94.0,180.0
091ff782-d063-4411-9f40-9b679eaf44da,77.5,154.0
d5b08556-ac8c-43b7-bd28-b37152623424,90.5,166.5
a1b0ba71-e335-4fd9-8f9a-cc7b5a951ab9,75.0,173.0
445c698a-ee2f-483b-b9d9-c4562bdafb88,85.0,161.0
97debc77-9d4c-4ac4-944c-26d890d57387,84.0,182.0
5ae846a2-fb61-4553-a41f-99db55bcebbd,85.0,179.0
6d808c81-5988-44cb-8a65-12723ac05506,95.0,181.0
95c29407-3898-46d9-9399-53ca391d26a5,77.0,165.0
acd66fb1-e8e9-4a83-8269-939b54852397,64.0,176.0
7780d1e6-26b2-411e-971f-8d35c56e65d8,89.0,143.0
a0eba165-f6fe-4a21-928a-f667bf9bbfc6,83.0,160.0
4d7eb099-5b50-45a1-9a69-e9898c77fe85,93.5,173.0
42c28be1-0f23-4e72-99be-adce9a593411,79.0,163.0
4a07f9c7-58d7-413d-8e7b-ca3c5f379c57,69.5,165.0
fe4bcccf-399f-4cd4-b385-e3b053e41c30,66.0,159.0
80d5c25b-d29c-4725-8fd2-a973b770f847,87.0,152.0
bce0f962-41e6-4d36-a5f0-e12f6474ea71,95.0,170.0
1030713a-29cd-4bc2-acbd-bf7c4855ffab,89.0,176.0
01843f3a-8883-4a76-a60f-223c92ff7ef1,105.0,172.0
06f81197-504a-478b-a347-052d4df03044,93.0,159.0
09407f03-8a99-499c-9830-5c657b2dd383,90.0,122.0
1214b775-d2df-4365-818e-fd07c6c1605a,89.5,179.0
366f2948-6a84-46ec-9306-94784457a294,76.0,172.0
3c61dc3b-68c0-4a2d-8724-6a744abe6d19,78.0,167.0
3cda1bd7-56c5-428e-98c7-fe13f7e1cbae,80.0,169.0
433abcb7-e4db-4002-892b-f033db0a4700,77.0,174.0
5d832f19-7169-409f-b1d3-6947b72e423b,83.0,167.5
88f6e5bd-24b5-4188-926e-d08faae36e72,93.5,182.0
afaf9967-adcd-4e9b-b117-55ca7057c0df,78.875,176.0
d0135273-6bad-4a89-8fd0-797e1e3c3c6e,87.0,171.0
d222716f-5ed8-46f9-a35c-ec6b3d9bae67,78.0,164.0
da6ab7ad-655c-4e4b-ac95-7af4cdc4b8f8,79.0,153.0
dd2eee24-b271-4cbd-be01-66b804838e5f,78.0,164.0
df6f2e29-5e82-431d-8549-27ca0f2fccff,86.0,167.0
e58c276d-9e21-4dcf-8121-703ee2c6f729,76.0,159.0
e7a3ed8a-cca4-4ba9-b244-328dacb435cd,86.0,170.0
ed8a4e8f-328f-40a6-9886-5120123826eb,94.0,167.0
f3771ea1-af65-4b36-90ad-6ffb5ac1f309,116.0,190.0
f505b200-6daf-46ad-b49e-14ff8edd72d6,57.0,160.0
